Iteration, Elapsed Time, TX Diff Output Swing(mV), Port TXDIFFCTRL0[2:0], Port TXBUFDIFFCTRL0[2:0], TX Pre-Emphasis, Port TXPREEMPHASIS0[2:0], RX Equalization, Port RXEQMIX0[1:0], DFETAP1, DFETAP2, RX Sampling Point(tap), RX Sampling Point(UI), Attr PMA_CDR_SCAN, Link, # Bits, # Errs, BER
119, 00:2:2, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 118, 0.929, 6404076, 0,  8.943E012,  8.943E012, 1
120, 00:2:3, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 119, 0.937, 6404077, 0,  8.820E012,  8.820E012, 1
121, 00:2:4, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 120, 0.945, 6404078, 0,  8.948E012,  8.948E012, 1
122, 00:2:5, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 121, 0.953, 6404079, 0,  8.909E012,  8.909E012, 1
123, 00:2:6, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 122, 0.961, 640407A, 0,  8.988E012,  8.988E012, 1
124, 00:2:7, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 123, 0.969, 640407B, 0,  8.935E012,  8.935E012, 1
125, 00:2:8, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 124, 0.976, 640407C, 0,  8.811E012,  8.811E012, 1
126, 00:2:10, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 125, 0.984, 640407D, 0,  8.582E012,  8.582E012, 1
127, 00:2:11, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 126, 0.992, 640407E, 0,  8.934E012,  8.934E012, 1
128, 00:2:12, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 127, 1.000, 640407F, 0,  8.927E012,  8.927E012, 1
